object_name,data_received_on,description,device_id,ismanual,object_id,object_type,present_value,units
VOX'OS02'Ahu'Ahu5'PIDVFD,2025-11-07T11:19:20.965 UTC,PID - Control For VFD,2122754,False,10,loop,60,n/a
VOX'OS04'Ahu'Ahu13'TBTe,2025-11-07T11:13:54.453 UTC,Trend Space Air Temperature,2122756,False,11,trendLog,n/a,n/a
VOXZAHIA'AS06'PX_EDOS7,2025-11-07T11:16:27.906 UTC,,2122758,False,2097159,file,n/a,n/a
VOX'OS02'Ahu'Ahu5'CmdCHW,2025-11-07T11:19:20.965 UTC,CHW Valve Command,2122754,False,14,analogOutput,n/a,percent
VOX'OS04'Ahu'FAHU'AlmAutoSf,2025-11-07T11:13:54.453 UTC,Supply Fan Not in Auto Alarm,2122756,False,27,binaryValue,inactive,n/a
VOX'OS01'Ahu'AhuMkp2'VFDMin,2025-11-07T11:06:56.469 UTC,VFD MIn.Speed Setpoint,2122753,False,56,analogValue,80,percent
VOX'OS05'Ahu'Ahu10'TBTe,2025-11-07T11:09:52.707 UTC,Trend Space Air Temperature,2122757,False,38,trendLog,n/a,n/a
VOX'OS02'MSFD'MSFD'OnOFF,2025-11-07T11:19:20.965 UTC,Zone Control Valve (Near Kids Party Room),2122754,False,61,binaryInput,inactive,n/a
VOX'OS01'MtrEMU'EMU02'00'Fq,2025-11-07T11:06:56.469 UTC,Frequency,2122753,False,121,analogInput,50.018489837646484,hertz
VOX'OS04'Ahu'FAHU'HrrwFlt2,2025-11-07T11:13:54.453 UTC,Heat Recovery Wheel-2 Trip Alarm,2122756,False,51,binaryInput,inactive,n/a
VOX'OS02'Mahu1'AhuMkp1'FlSu,2025-11-07T11:19:20.965 UTC,Supply Air Flow Rate,2122754,False,81,analogValue,5428.2001953125,litersPerSecond
VOX'OS01'Ahu'Ahu3'ChwTemp,2025-11-07T11:06:56.469 UTC,Chilled Water Return Temperature,2122753,False,35,analogInput,n/a,degreesCelsius
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'TCtlC'CclTRCtrC,2025-11-07T11:16:03.370 UTC,Room temp.ctr.cooling for cooling coil,2,False,5,loop,69.13246154785156,n/a
VOX'OS04'Ahu'Ahu6'SpFAD,2025-11-07T11:13:54.453 UTC,FA. Damper Open Setpoint for Normal,2122756,False,17,analogValue,80,percent
VOX'OS01'MtrEMU'EMU04'00'VoltBC,2025-11-07T11:06:56.469 UTC,Voltage B-C,2122753,False,163,analogInput,239.2369842529297,volts
VOX'OS3'MSFD'MSFD'OnOFF1,2025-11-07T11:07:24.654 UTC,MSFD-3 KITCHEN-3 Store Return,2122755,False,3,binaryInput,active,n/a
VOX'OS02'Mahu1'AhuMkp1'SpTSuHiLo,2025-11-07T11:19:20.965 UTC,Supply Air Temperature Alarm Hi/Low Limit Setpoint,2122754,False,68,analogValue,4,degreesCelsius
VOX'OS04'Ahu'Ahu13'SpCo2Band,2025-11-07T11:13:54.453 UTC,Space  Air Co2 Setpoint Band,2122756,False,2,analogValue,100,partsPerMillion
VOX'OS02'Ahu'Ahu15'TBHuSu,2025-11-07T11:19:20.965 UTC,Trend Supply Air Humidity,2122754,False,18,trendLog,n/a,n/a
hmi-D21BCA4BEF8C180D7768F80251A5D4DE,2025-11-07T11:16:03.370 UTC,,2,False,362,file,n/a,n/a
VOX'OS02'ExFans'KitExFan'ExAirQual,2025-11-07T11:19:20.965 UTC,Exhaust Air Quality,2122754,False,58,analogInput,1113.5999755859375,partsPerMillion
VOX'OS02'Ahu'Ahu15'RtCo2,2025-11-07T11:19:20.965 UTC,Space Air Co2 Setpoint,2122754,False,14,analogValue,1000,partsPerMillion
VOX'OS02'Ahu'Ahu4'HuR2,2025-11-07T11:19:20.965 UTC,Space Air Humidity-2,2122754,False,73,analogInput,60.23999786376953,percentRelativeHumidity
VOX'OS02'Ahu'Ahu4'TempSp1,2025-11-07T11:19:20.965 UTC,Space Air Temperature-1,2122754,False,43,analogInput,20.895000457763672,degreesCelsius
VOX'OS01'Ahu'Ahu17'TSOcc,2025-11-07T11:06:56.469 UTC,Time Scheduler - Occupancy,2122753,False,3,schedule,1,n/a
VOX'OS3A'MtrEMU'00'VoltAB,2025-11-07T11:16:27.906 UTC,Voltage A-B,2122758,False,12,analogInput,404.0637512207031,volts
VOX'OS01'ExFans'PrjExFan2'SsCmd,2025-11-07T11:06:56.469 UTC,Fan Start Stop Command,2122753,False,13,binaryOutput,active,n/a
VOX'OS02'Ahu'Ahu16'AlmTrpSf,2025-11-07T11:19:20.965 UTC,Supply Fan VFD Fault Alarm,2122754,False,14,binaryInput,inactive,n/a
BA-29-7,2025-11-07T11:16:03.370 UTC,,2,False,302,file,n/a,n/a
VOX'OS02'Ahu'Ahu14'SpTREff,2025-11-07T11:19:20.965 UTC,Room Temperature Effective Setpoint,2122754,False,10,analogValue,21,degreesCelsius
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'HVAC'Fan'FanAvlVnt,2025-11-07T11:11:55.586 UTC,Fan available for ventilation,233,False,23,binaryValue,inactive,n/a
VOX'OS04'Ahu'Ahu13'TBStaFlw,2025-11-07T11:13:54.453 UTC,Trend Supply Fan Airflow Status,2122756,False,8,trendLog,n/a,n/a
VOX'OS05'RmTAvg'SpaceT15'HuR2,2025-11-07T11:09:52.707 UTC,Space Air Humidity-2,2122757,False,60,analogInput,79.56999969482422,percentRelativeHumidity
VOX'OS04'Ahu'Ahu6'SpTROcc,2025-11-07T11:13:54.453 UTC,Room Temperature Occupied Setpoint,2122756,False,25,analogValue,21,degreesCelsius
VOXZAHIA'AS03'PX_EDOS1,2025-11-07T11:07:24.654 UTC,,2122755,False,2097153,file,n/a,n/a
VOX'OS02'Ahu'Ahu16'TempSu,2025-11-07T11:19:20.965 UTC,Supply Air Temperature,2122754,False,33,analogInput,14.684999465942383,degreesCelsius
VOX'OS04'Ahu'Ahu8'AlmTrpSf,2025-11-07T11:13:54.453 UTC,Supply Fan VFD Fault Alarm,2122756,False,20,binaryInput,inactive,n/a
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'VntCtl'DmpOaVntCtr,2025-11-07T11:16:03.370 UTC,Ventilation ctr.for outs.air damper,2,False,18,loop,n/a,n/a
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'ROpUnDev(1)'SpShftIn,2025-11-07T11:11:55.586 UTC,Setpoint shift input value,233,False,233,analogValue,-1,degreesKelvin
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'SpTRDtr'SpTR,2025-11-07T11:16:03.370 UTC,Room temperature setpoint,2,False,41,analogValue,22,degreesCelsius
VOX'OS01'Ahu'Ahu2'SpTRUnoc,2025-11-07T11:06:56.469 UTC,Room Temperature Un-Occupied Setpoint,2122753,False,39,analogValue,26,degreesCelsius
VOX'OS01'MtrEMU'EMU01'00'PowC,2025-11-07T11:06:56.469 UTC,Active Power C,2122753,False,108,analogInput,2.6088829040527344,kilowatts
VOX'OS05'MSFD'MSFD'MSFD6,2025-11-07T11:09:52.707 UTC,MSFD-6-AUD-16(Projecter Room Return),2122757,False,29,binaryInput,active,n/a
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'PltModDtr'PltOpMod,2025-11-07T11:16:03.370 UTC,Plant operating mode,2,False,36,multiStateValue,5,n/a
VOX_FCU'Flr_01'R_FCU_FYR_SERVER ROOM_9B'RStaMon,2025-11-07T11:11:55.586 UTC,Room monitoring state,233,False,5,eventEnrollment,n/a,n/a
VOX'OS01'Ahu'Ahu3'HuRt,2025-11-07T11:06:56.469 UTC,Return Air Humidity,2122753,False,40,analogInput,27.579999923706055,percentRelativeHumidity
VOX'OS02'Ahu'Ahu4'Co2RA1,2025-11-07T11:19:20.965 UTC,Space Air Co2-1,2122754,False,70,analogInput,540.7999877929688,partsPerMillion
VOX'OS01'Ahu'Ahu3'TBHuSu,2025-11-07T11:06:56.469 UTC,Trend Supply Air Humidity,2122753,False,40,trendLog,n/a,n/a
VOX'OS02'Ahu'Ahu5'SpHuR,2025-11-07T11:19:20.965 UTC,Space Air Humidity Setpoint,2122754,False,58,analogValue,60,percent
VOX'OS04'Ahu'Ahu8'PIDTR,2025-11-07T11:13:54.453 UTC,PID - Control For Room Temperature,2122756,False,7,loop,83.21148681640625,n/a
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'FanVarSpd,2025-11-07T11:11:55.586 UTC,Variable speed fan,233,False,3,analogOutput,n/a,percent
VOX'OS3'MtrEMU'EMU01'00'Pf,2025-11-07T11:07:24.654 UTC,Power Factor Total,2122755,False,7,analogInput,-0.9748889207839966,noUnits
VOX'OS04'Ahu'Ahu7'AlmNtAuto,2025-11-07T11:13:54.453 UTC,Supply Fan Not in Auto Alarm,2122756,False,15,binaryValue,inactive,n/a
